userId,movieId,similarity
1,104,0.2154666470171403
1,2580,0.0762691402495816
1,3082,0.0696987322184072
1,481,0.0500078703660583
1,6534,0.0461186857463808
2,2762,0.1409954098612729
2,543,0.0467285298707468
2,2161,0.043958966806978
2,1413,0.0348389049244009
2,2687,0.0241255230295145
3,1221,0.0590729771810638
3,5989,0.0429292307796937
3,99114,0.0277042960333729
3,4246,0.0252282453220099
3,529,0.0245786880296059
4,2502,0.0968561938209986
4,2620,0.0260433417035022
4,5183,0.0208049152836152
4,2243,0.0205322903922208
4,6125,0.0192810593705545
5,719,0.090665302452925
5,54286,0.0337113217081565
5,8372,0.0267842243580652
5,7933,0.0233016747739434
5,1375,0.021462056200638
6,17,0.1202621346218243
6,454,0.1055742269574522
6,3948,0.0659271550157874
6,89745,0.046498815040724
6,4014,0.0381465760130551
7,1721,0.0730707893045776
7,3147,0.0491734163970051
7,6920,0.0355273948267785
7,1372,0.0345910297363486
7,3948,0.0340605043770331
8,780,0.0162254257307763
8,367,0.0121343395828509
8,4833,0.0078121672297095
8,1610,0.0059996047198068
8,2916,0.0058156544264817
9,10,0.0214306214784015
9,2692,0.009026002874512
9,282,0.006735188646373
9,3785,0.0056824973778966
9,8608,0.0047820260932103
10,1101,0.0889267746220131
10,1234,0.0781431853322137
10,5471,0.0653745946431124
10,78499,0.0470950500123222
10,785,0.0442619224047058
11,3298,0.062149585575969
11,277,0.05506210235292
11,8573,0.0431343550065683
11,3623,0.0415076688130891
11,596,0.0388959309838649
12,1219,0.0124789385456219
12,48,0.0115635845780682
12,350,0.0111644492076611
12,1203,0.0091908252581495
12,3300,0.0067154689272251
13,11,0.0062981855894799
13,8754,0.0048611343076197
13,1247,0.0048241974470874
13,4979,0.0039507611907101
13,3082,0.0026086661895651
14,924,0.0348240322590776
14,100,0.0327086523195307
14,8360,0.025171717976012
14,428,0.0172428483892019
14,4451,0.0133032142404405
15,1259,0.0196123058419373
15,4223,0.0143976708274613
15,2470,0.0142307532568461
15,5995,0.0139095926881411
15,7366,0.0096253305086506
16,337,0.0610493357398895
16,62,0.0588899811916835
16,7022,0.0357586301318122
16,2109,0.0287942028105796
16,36529,0.0212747686598025
17,32,0.2126279653918872
17,3753,0.0391267530785361
17,431,0.0351123157614572
17,4310,0.0268853334909757
17,45499,0.0228642312380404
18,8972,0.0122366985301984
18,3107,0.011220067052664
18,327,0.0111857744708907
18,1084,0.0097395750223478
18,3005,0.0089472116678625
19,376,0.064614300800802
19,109487,0.0619537328631689
19,345,0.0576044535303463
19,2428,0.0247612744215195
19,33615,0.0237508768613253
20,6874,0.0170519337535536
20,4973,0.0160838465023467
20,912,0.0152338822202004
20,3846,0.0116745809338112
20,8636,0.0099566041024785
21,1079,0.0684079144110065
21,277,0.0677873432295247
21,1639,0.0447487328990963
21,1991,0.044258249578914
21,982,0.0405602084829456
22,58559,0.0471801033157453
22,4995,0.0384548098955607
22,4776,0.0142257223969226
22,6218,0.0139577887727639
22,2310,0.0122734655734575
23,5989,0.0132504670679805
23,3052,0.009505357909188
23,8704,0.0049401615367105
23,1231,0.0045577377327268
23,667,0.0041616306675143
24,5349,0.0287001024098036
24,4806,0.0225441476193049
24,1094,0.0203640594321564
24,5993,0.0128002039568022
24,5666,0.0122272378285062
25,1073,0.2139721871700054
25,551,0.0745709758592061
25,5077,0.0339502191589534
25,402,0.0296220251639856
25,8957,0.0289415984110166
26,6299,0.0276669504812445
26,2,0.0154975299926535
26,786,0.0142266884585184
26,1387,0.0141937273508187
26,8573,0.0135109578528521
27,36,0.008252136786279
27,4973,0.0075129455395107
27,4,0.006531345448031
27,1569,0.0057962307679483
27,6789,0.0056246077369613
28,6264,0.0250439816427329
28,7153,0.0210684002007508
28,48,0.0093472842271303
28,104,0.0092047634416071
28,5335,0.0088706955555013
29,5176,0.0477474604668349
29,1358,0.0197106620093937
29,3702,0.0153656252596203
29,2541,0.0151027888936384
29,2485,0.0103254046470983
30,6264,0.0111853394658
30,1968,0.004471895468003
30,2174,0.0041700941326956
30,6936,0.0038224141523354
30,1247,0.0037943868574034
31,1196,0.0785322393584278
